Wavelength (nm),Transmittance ITO (%),Transmittance CdS (%),Transmittance Si (%),Transmittance GaAs (%)
666,77.764,72.107,-0.001,0.192
667,77.618,70.497,0,0.193
668,77.531,69.136,0,0.195
669,77.394,67.996,0,0.195
670,77.268,67.107,0,0.194
671,77.134,66.458,0,0.192
672,77.073,66.011,-0.001,0.195
673,76.969,65.864,0,0.195
674,76.855,65.937,0,0.196
675,76.794,66.269,0,0.193
676,76.827,66.862,0,0.193
677,76.873,67.699,0,0.195
678,76.911,68.795,-0.001,0.196
679,76.906,70.037,-0.001,0.196
680,76.91,71.465,-0.001,0.196
681,76.913,73.044,-0.001,0.197
682,76.949,74.74,-0.001,0.196
683,76.99,76.561,-0.001,0.197
684,77.066,78.405,0,0.195
685,77.113,80.317,0,0.196
686,77.213,82.132,-0.001,0.194
687,77.267,83.812,-0.001,0.195
688,77.368,85.351,0,0.195
689,77.477,86.71,0,0.195
690,77.661,87.876,0,0.195
691,77.806,88.575,-0.001,0.195
692,77.979,88.922,-0.001,0.196
693,78.102,88.884,-0.001,0.198
694,78.344,88.622,0,0.198
695,78.482,87.914,-0.001,0.197
696,78.735,86.936,-0.001,0.196
697,78.89,85.699,-0.001,0.196
698,79.115,84.318,0,0.197
699,79.246,82.746,0,0.199
700,79.482,81.017,0,0.198
701,79.684,79.233,-0.001,0.198
702,79.934,77.476,-0.001,0.198
703,80.139,75.769,0,0.199
704,80.372,74.165,-0.001,0.198
705,80.566,72.618,-0.001,0.198
706,80.81,71.271,-0.001,0.199
707,81.006,70.065,0,0.2
708,81.257,69.056,0,0.201
709,81.476,68.171,0,0.199
710,81.808,67.533,0,0.199
711,82.09,67.05,0,0.199
712,82.397,66.803,0,0.2
713,82.673,66.636,0,0.201
714,82.98,66.725,0,0.2
715,83.313,66.998,0,0.199
716,83.556,67.45,0,0.2
717,83.879,68.081,-0.001,0.201
718,84.114,68.845,0,0.202
719,84.505,69.832,0,0.201
720,84.805,70.948,0,0.201
721,85.09,72.136,0,0.201
722,85.358,73.534,0,0.201
723,85.619,75.009,0,0.2
724,85.902,76.627,-0.001,0.2
725,86.127,78.171,-0.001,0.201
726,86.359,79.778,0,0.203
727,86.636,81.327,0,0.204
728,86.934,82.964,0,0.204
729,87.269,84.476,-0.001,0.202
730,87.589,85.94,-0.001,0.203
731,87.866,87.126,-0.001,0.203
732,88.067,88.157,0,0.202
733,88.264,89.028,0,0.201
734,88.508,89.603,0,0.203
735,88.822,89.954,-0.001,0.204
736,89.106,89.898,-0.001,0.202
737,89.412,89.722,-0.001,0.202
738,89.636,89.155,0,0.201
739,89.883,88.484,-0.001,0.204
740,90.015,87.502,0,0.203
741,90.205,86.434,0,0.204
742,90.387,85.129,-0.001,0.204
743,90.576,83.767,-0.001,0.203
744,90.814,82.307,-0.001,0.204
745,90.99,80.785,-0.001,0.205
746,91.131,79.23,0,0.208
747,91.225,77.716,0,0.206
748,91.273,76.169,-0.001,0.205
749,91.459,74.787,-0.001,0.205
750,91.48,73.466,0,0.204
751,91.739,72.349,0,0.205
752,91.764,71.229,-0.001,0.204
753,91.894,70.298,-0.001,0.204
754,91.85,69.476,-0.001,0.205
755,91.92,68.744,0,0.204
756,91.987,68.112,0,0.205
757,92.04,67.715,-0.001,0.206
758,92.046,67.467,-0.001,0.206
759,92.07,67.334,-0.001,0.208
760,92.111,67.29,0,0.208
761,92.145,67.435,-0.001,0.207
762,92.167,67.71,-0.001,0.205
763,92.103,68.055,-0.001,0.204
764,92.033,68.517,-0.001,0.206
765,91.985,69.095,-0.001,0.208
766,91.945,69.846,-0.001,0.208
767,91.948,70.761,-0.001,0.207
768,91.867,71.745,0,0.207
769,91.767,72.751,0,0.209
770,91.663,73.924,0,0.21
771,91.607,75.201,0,0.21
772,91.512,76.625,0,0.207
773,91.401,77.884,0,0.207
774,91.339,79.246,-0.001,0.208
775,91.28,80.632,-0.001,0.209
776,91.135,82.051,-0.001,0.209
777,90.886,83.418,-0.001,0.209
778,90.714,84.703,-0.001,0.209
779,90.587,85.962,-0.001,0.207
780,90.486,87.114,-0.001,0.209
781,90.294,88.111,-0.001,0.208
782,90.157,89.02,0,0.209
783,89.913,89.621,-0.001,0.207
784,89.821,90.207,-0.001,0.207
785,89.598,90.412,0,0.205
786,89.465,90.675,0,0.205
787,89.232,90.585,-0.001,0.203
788,89.003,90.365,-0.001,0.206
789,88.783,89.845,0,0.206
790,88.517,89.025,0,0.208
791,88.424,88.192,-0.001,0.21
792,88.251,87.299,-0.001,0.212
793,87.887,86.231,-0.001,0.211
794,87.556,85.02,-0.001,0.212
795,87.404,83.799,-0.001,0.212
796,87.358,82.636,-0.001,0.211
797,87.24,81.447,0,0.209
798,86.946,80.113,-0.001,0.206
799,86.705,78.823,-0.001,0.208
800,86.432,77.569,-0.001,0.21
801,86.126,76.314,0,0.213
802,85.977,75.119,-0.001,0.215
803,85.901,74.015,-0.001,0.213
804,85.735,72.931,-0.001,0.213
805,85.459,71.977,0,0.21
806,85.142,71.101,0,0.213
807,84.905,70.39,0,0.21
808,84.77,69.741,-0.001,0.214
809,84.515,69.204,-0.001,0.211
810,84.287,68.684,0,0.214
811,84.016,68.337,0,0.21
812,83.77,68.007,-0.001,0.213
813,83.639,67.898,0,0.213
814,83.359,67.665,0,0.214
815,83.124,67.554,0,0.213
816,82.925,67.627,-0.001,0.21
817,82.713,67.979,0,0.213
818,82.575,68.374,-0.001,0.216
819,82.309,68.754,-0.001,0.221
820,82.118,69.128,-0.001,0.219
821,81.924,69.725,-0.001,0.212
822,81.73,70.408,-0.001,0.212
823,81.737,71.224,0,0.212
824,81.64,72.005,-0.001,0.219
825,81.514,72.702,0,0.22
826,81.27,73.733,0,0.215
827,81.095,74.702,0.001,0.212
828,80.949,75.818,0.001,0.214
829,80.969,76.959,0.002,0.216
830,80.79,78.173,0.137,0.271
831,80.668,79.459,0.27,0.311
832,80.301,80.437,0.398,0.39
833,80.035,81.609,0.393,0.353
834,79.897,82.755,0.361,0.363
835,79.768,83.951,0.341,0.356
836,79.536,84.917,0.301,0.375
837,79.343,85.995,0.292,0.456
838,79.181,86.97,0.317,0.466
839,79.23,87.955,0.355,0.509
840,79.105,88.764,0.306,0.479
841,79.009,89.442,0.269,0.407
842,78.947,89.925,0.237,0.382
843,78.813,90.294,0.224,0.404
844,78.772,90.577,0.213,0.501
845,78.666,90.812,0.228,0.529
846,78.702,90.77,0.327,0.521
847,78.586,90.654,0.387,0.418
848,78.59,90.4,0.33,0.424
849,78.481,90.027,0.33,0.415
850,78.521,89.465,0.245,0.501
851,78.328,88.862,0.295,0.458
852,78.273,88.072,0.224,0.388
853,78.101,87.332,0.334,0.375
854,78.19,86.449,0.332,0.382
855,78.109,85.613,0.387,0.339
856,78.131,84.542,0.303,0.277
857,78.008,83.536,0.318,0.299
858,78.031,82.426,0.22,0.387
859,77.99,81.322,0.273,0.475
860,77.884,80.062,0.215,0.489
861,77.798,78.884,0.335,0.436
862,77.808,77.845,0.281,0.428
863,77.81,76.922,0.329,0.404
864,77.9,75.976,0.363,0.389
865,77.907,75.074,0.282,0.397
866,77.931,74.019,0.17,0.391
867,77.836,73.129,0.057,0.458
868,77.819,72.28,0.096,0.449
869,77.864,71.707,0.176,0.472
870,77.881,71.07,0.23,0.404
871,77.883,70.466,0.187,0.333
872,77.877,69.813,0.187,0.338
873,77.988,69.301,0.128,0.395
874,78.01,68.93,0.202,0.427
875,78.191,68.719,0.229,0.365
876,78.276,68.544,0.257,0.419
877,78.354,68.371,0.278,0.485
878,78.343,68.135,0.226,0.509
879,78.3,68.063,0.143,0.46
880,78.312,68.033,0.142,0.396
881,78.365,68.137,0.108,0.409
882,78.469,68.299,0.199,0.437
883,78.579,68.484,0.18,0.469
884,78.639,68.772,0.261,0.512
885,78.684,69.053,0.224,0.529
886,78.722,69.458,0.255,0.62
887,78.815,69.951,0.227,0.658
888,78.913,70.479,0.247,0.798
889,78.947,71.042,0.228,0.971
890,78.984,71.604,0.251,1.214
891,78.98,72.261,0.287,1.441
892,79.084,73.012,0.261,1.674
893,79.192,73.796,0.199,2.007
894,79.398,74.652,0.161,2.368
895,79.493,75.541,0.195,2.788
896,79.54,76.422,0.197,3.246
897,79.62,77.417,0.181,3.755
898,79.751,78.408,0.22,4.35
899,79.944,79.476,0.24,4.948
900,80.033,80.398,0.224,5.533
901,80.228,81.404,0.115,6.099
902,80.309,82.386,0.129,6.682
903,80.439,83.364,0.159,7.274
